"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,9.307692,1,16.10411,0,8,12,10.7915502060443,0,2,1,-0.360709135627721,1,0,0,0,0,1,0,0,12,0,0
1,9.307692,0,16.93699,0,9,12,12,1,13,1,0.249538153078183,0,0,0,0,1,1,1,1,12,12,1
1,9.307692,0,22.54521,0,11,6.61556714868282,6.04315343695845,0,5.25,1,0.490720445489524,0,0,1,1,1,0,0,0,0,0,0
1,12.49659,0,16.23014,0,9,11,7,1,5,1,-0.0631014045731689,1,0,1,0,1,1,1,0,11,7,0
1,12.49659,0,16.47397,0,9,14,12,1,4,1,-0.311182632325578,1,0,1,0,1,1,1,0,14,12,0
1,9.307692,0,17.29315,0,9,12,12,0,1,1,-0.217121538285155,1,0,1,0,1,1,1,1,12,12,1
1,12.49659,0,16.20548,0,8,12,16,1,2.5,1,-0.611244252983153,1,0,1,0,1,1,1,1,12,16,1
1,9.307692,0,16.0137,0,9,12,14,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,0,12,14,0
1,19.99454,1,16.10959,0,8,16,15.9636783807323,0,0,0,-0.683781229648494,1,1,0,1,1,1,0,0,16,0,0
1,9.307692,0,22.24657,1,12,3,2,0,10.25,1,3.91550899773056,0,1,0,1,1,1,1,1,3,2,1
1,9.307692,1,21.71781,1,11,7,9,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,7,9,1
1,6.467032,1,19.38356,0,12,16,12,0,9,1,0.210163741619401,0,0,0,0,1,1,1,0,16,12,0
1,9.307692,0,22,0,13.3233252424833,13.8449920671283,17.2392746530101,1,13.5286180656408,1,1.11738612532106,0,0,0,0,1,0,0,0,0,0,0
1,9.307692,1,18.4,0,11,8.29135741254499,10.5486333039463,1,4.5,1,-0.452807117985726,0,0,0,0,0,0,0,1,0,0,0
1,12.49659,1,20.1863,0,10,12,10.8618326002087,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,0,12,0,0
1,9.307692,0,19.52329,0,10,12,9,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,1,12,9,0
1,9.307692,1,16.30959,0,10,12,12,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,0,12,12,0
1,12.49659,1,18.51507,0,11,14,12,1,9.5,1,0.708121042091002,0,0,0,0,0,1,1,1,14,12,0
1,9.307692,0,17.04383,0,9,16,14.2828576162950,0,4.5,1,-0.158228187812619,0,0,0,0,0,1,0,0,16,0,0
1,9.307692,0,16.66301,0,8,12,8.19549995971783,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,0,12,0,0
1,9.307692,1,20.87671,0,12,11.5948052394401,14.3081272263033,0,1.75,1,-0.399522658034383,0,0,0,0,0,0,0,0,0,0,0
1,12.49659,0,18.76712,0,10,14,14,0,4.5,1,-0.209829980607603,0,0,0,0,1,1,1,0,14,14,0
1,9.307692,1,19.27123,0,12,12,11,0,6.25,1,1.31926575328030,1,0,0,1,1,1,1,0,12,11,0
1,9.307692,0,16.0274,0,8,14,15,0,2,1,-0.33378646112599,1,0,1,0,0,1,1,0,14,15,0
1,12.49659,0,18.0411,0,9,12,12,0,0,0,-0.683781229648494,1,0,0,0,0,1,1,1,12,12,0
1,9.307692,1,19.50411,0,11,9,12,1,2.25,1,-0.296094716823566,1,0,0,0,1,1,1,0,9,12,0
1,12.49659,0,22.38356,0,12,9,9,0,0,0,-0.683781229648494,1,0,0,0,1,1,1,1,9,9,1
1,6.467032,0,23.09315,1,12,12,14.0688332836729,1,11.25,1,1.14224916843142,1,0,1,0,0,1,0,1,12,0,0
1,12.49659,0,16.35616,0,8,20,12,0,1.25,1,-0.59403898130939,0,0,0,0,1,1,1,0,20,12,0
1,19.99454,1,17.89589,0,11,12,12,0,8.25,1,0.333222799654397,1,0,1,0,1,1,1,1,12,12,1
1,12.49659,0,16.02192,0,10,7.69502570403479,9.26895023055822,0,1.89673395678494,1,-0.683781229648494,0,0,0,0,0,0,0,0,0,0,0
1,12.49659,0,16.78082,0,10,12,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,12,12,1
1,9.307692,1,19.33425,0,10,14,12,0,1.5,1,-0.199173088617335,0,0,0,0,1,1,1,0,14,12,0
1,19.99454,1,16.33151,0,9,10,10,1,4.25,1,-0.253018437620797,0,0,0,0,0,1,1,1,10,10,0
1,12.49659,0,18.16712,0,12,14,15,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,14,15,1
1,9.307692,0,19.89589,0,11,12,8.32600799485827,1,0.25,1,-0.656858555146763,0,0,0,0,0,1,0,1,12,0,0
1,12.49659,1,21.55069,0,11,11,14.6823976209518,1,11.5,1,1.35112425144068,0,0,0,0,0,1,0,1,11,0,0
1,9.307692,1,17.66575,0,11,12,10.8748107868947,1,9.43762734724254,1,1.87626313848337,0,0,0,0,1,1,0,0,12,0,0
1,19.99454,1,18,0,11.174326305219,9.93959548742415,6.66308353329365,0,5.31066079667121,1,-0.32860056642875,0,0,0,0,0,0,0,0,0,0,0
1,9.307692,0,16.90137,0,8,14,9.17283799718425,0,4,1,-0.0376370416069483,1,0,1,0,1,1,0,1,14,0,1
